site,sensor,year,month,day,hour,microsite,temp,RH
Panoche,station,2014,1,22,21,site,5.83,51
Panoche,station,2014,1,22,22,site,4.56,53
Panoche,station,2014,1,22,23,site,3.89,57
Panoche,station,2014,1,22,24,site,2.83,51
Panoche,station,2014,1,23,1,site,1.67,53
Panoche,station,2014,1,23,2,site,1.78,56
Panoche,station,2014,1,23,3,site,1.44,61
Panoche,station,2014,1,23,4,site,0.61,64
Panoche,station,2014,1,23,5,site,0.61,68
Panoche,station,2014,1,23,6,site,-0.39,69
Panoche,station,2014,1,23,7,site,-0.94,69
Panoche,station,2014,1,23,8,site,-0.94,71
Panoche,station,2014,1,23,9,site,2.94,69
Panoche,station,2014,1,23,10,site,7.28,63
Panoche,station,2014,1,23,11,site,10.44,52
Panoche,station,2014,1,23,12,site,13.17,43
Panoche,station,2014,1,23,13,site,15.5,36
Panoche,station,2014,1,23,14,site,17.28,33
Panoche,station,2014,1,23,15,site,18.17,31
Panoche,station,2014,1,23,16,site,18.28,30
Panoche,station,2014,1,23,17,site,17.06,33
Panoche,station,2014,1,23,18,site,13.11,51
Panoche,station,2014,1,23,19,site,12.33,53
Panoche,station,2014,1,23,20,site,10.61,57
Panoche,station,2014,1,23,21,site,10.44,57
Panoche,station,2014,1,23,22,site,10.33,56
Panoche,station,2014,1,23,23,site,9.39,54
Panoche,station,2014,1,23,24,site,9,55
Panoche,station,2014,1,24,1,site,9.06,60
Panoche,station,2014,1,24,2,site,7.83,62
Panoche,station,2014,1,24,3,site,7.5,65
Panoche,station,2014,1,24,4,site,7,67
Panoche,station,2014,1,24,5,site,6.5,67
Panoche,station,2014,1,24,6,site,6.28,69
Panoche,station,2014,1,24,7,site,5.94,72
Panoche,station,2014,1,24,8,site,5.67,77
Panoche,station,2014,1,24,9,site,8.33,77
Panoche,station,2014,1,24,10,site,11.06,62
Panoche,station,2014,1,24,11,site,13.89,51
Panoche,station,2014,1,24,12,site,15.5,46
Panoche,station,2014,1,24,13,site,16,41
Panoche,station,2014,1,24,14,site,17.17,35
Panoche,station,2014,1,24,15,site,17.94,32
Panoche,station,2014,1,24,16,site,18.39,30
Panoche,station,2014,1,24,17,site,16.94,35
Panoche,station,2014,1,24,18,site,13.78,47
Panoche,station,2014,1,24,19,site,11.33,54
Panoche,station,2014,1,24,20,site,9.83,56
Panoche,station,2014,1,24,21,site,9.11,63
Panoche,station,2014,1,24,22,site,7.56,66
Panoche,station,2014,1,24,23,site,6.33,70
